Slope Angle (degrees),Rainfall (mm),Moisture Content (%),Result
15.5,50.2,15.3,3
18.3,65.1,18.7,3
22.7,75.4,22.1,2
25.4,82.3,25.8,2
28.9,95.6,28.4,2
30.2,105.3,30.1,1
32.5,115.7,32.9,1
35.1,125.4,35.6,1
38.7,135.2,38.2,1
40.3,145.8,40.7,0
42.1,155.3,42.5,0
45.2,165.1,45.3,0
12.3,45.5,12.8,3
14.8,52.3,14.5,3
19.5,68.7,19.2,2
23.1,78.9,23.5,2
27.3,88.4,27.1,2
31.4,108.2,31.6,1
34.2,118.5,34.3,1
37.5,128.9,37.8,1
39.8,138.6,39.5,0
41.7,148.3,41.9,0
44.5,158.7,44.2,0
46.8,168.5,46.7,0
16.2,55.8,16.4,3
20.4,70.5,20.3,2
24.6,80.7,24.2,2
29.3,98.2,29.1,2
33.1,112.4,33.2,1
36.4,122.7,36.5,1
38.2,132.5,38.9,1
40.8,142.4,40.3,0
43.3,152.8,43.1,0
45.9,162.9,45.8,0
47.5,172.3,47.2,0
13.7,48.3,13.5,3
17.6,62.4,17.8,3
21.8,73.6,21.5,2
26.2,85.5,26.3,2
30.7,102.8,30.4,1
34.8,116.9,34.7,1
37.9,127.3,37.5,1
41.2,140.7,41.1,0
44.1,151.5,44.5,0
46.3,161.8,46.1,0
48.2,171.6,48.3,0
14.1,49.7,14.2,3
18.9,66.8,18.9,3
23.5,79.3,23.8,2
28.1,92.7,28.6,2
32.3,110.5,32.5,1
35.6,120.8,35.9,1
39.4,136.7,39.2,1
42.5,147.9,42.3,0
45.7,159.4,45.5,0
47.9,169.8,47.8,0
49.3,178.5,49.1,0
15.8,53.2,15.9,3
19.7,69.5,19.6,3
24.3,81.5,24.5,2
29.6,99.8,29.3,2
33.7,114.2,33.8,1
36.8,124.5,36.2,1
40.1,138.9,40.5,0
43.7,149.2,43.8,0
46.5,164.2,46.4,0
48.7,174.7,48.6,0
11.5,42.8,11.2,3
16.7,58.3,16.7,3
22.1,74.8,22.4,2
27.8,90.3,27.9,2
31.9,107.6,31.8,1
35.3,119.3,35.4,1
38.5,133.8,38.6,1
41.9,144.6,41.7,0
44.8,156.7,44.9,0
47.2,167.4,47.5,0
49.7,177.9,49.5,0
13.2,47.1,13.3,3
17.4,61.2,17.5,3
21.5,72.9,21.8,2
26.7,87.8,26.5,2
30.4,103.9,30.7,1
34.5,117.8,34.6,1
37.2,129.6,37.3,1
40.6,141.8,40.9,0
43.9,153.3,43.6,0
46.7,163.5,46.8,0
48.9,173.8,48.8,0
14.5,50.9,14.6,3
19.2,67.3,19.4,3
23.9,80.1,23.7,2
28.5,96.5,28.8,2
32.8,111.7,32.7,1
36.1,123.4,36.3,1
39.7,137.5,39.8,1
42.8,148.7,42.6,0
45.4,160.3,45.2,0
47.7,170.5,47.9,0
49.5,179.2,49.4,0
